siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement,dropcontact_status,dropcontact_request_id,dropcontact_email_selected,dropcontact_email_selected_qualification,dropcontact_email_candidates,dropcontact_credits_left_after_post
389505850,38950585000195,TEAM MEDIA,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,73.12Z,Régie publicitaire de médias,Publicité et études de marché,21,50,99,2023,1992-11-30,PARIS,75015,75115,10 BOULEVARD DE GRENELLE,,75,skipped_missing_required_fields,,,,,
775719792,77571979202650,LA PREVENTION ROUTIERE,True,0,Non inscrit,"Association déclarée, reconnue d'utilité publique",9230,94.99Z,Autres organisations fonctionnant par adhésion volontaire,Activités des organisations associatives,22,100,199,2023,1984-03-26,PARIS,75009,75109,33 RUE DE MOGADOR,,75,skipped_missing_required_fields,,,,,
180092256,18009225600023,APIJ AGENCE PUBLIQUE POUR L'IMMOBILIER DE LA JUSTICE,True,0,Non inscrit,Établissement public national à caractère administratif,7389,84.11Z,Administration publique générale,Administration publique et défense ; sécurité sociale obligatoire,22,100,199,2022,2001-08-31,LE KREMLIN-BICETRE,94270,94043,67 AVENUE DE FONTAINEBLEAU,57-77 IMMEUBLE OKABE,75,skipped_missing_required_fields,,,,,
390850816,39085081600013,SIMONE TEINTURERIE DE LUXE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,96.01B,Blanchisserie-teinturerie de détail,Autres services personnels,21,50,99,2022,1993-02-26,PARIS,75012,75112,163 RUE DE CHARENTON,,75,skipped_missing_required_fields,,,,,
482858339,48285833900062,DESTINY FRANCE PARTENAIRES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,61.10Z,Télécommunications filaires,Télécommunications,22,100,199,2022,2005-06-10,CLICHY,92110,92024,37 RUE DE NEUILLY,37 A 39,75,skipped_missing_required_fields,,,,,
850529256,85052925600016,VIVA PAYMENTS VIVA PAYMENT SERVICES S.A,True,0,Radié,Société commerciale étrangère immatriculée au RCS,3120,66.19B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",Activités auxiliaires de services financiers et d'assurance,21,50,99,2023,2019-04-30,,,,18 RUE AMAROUSSIOU CHALANDRIOU 18 20,,75,skipped_missing_required_fields,,,,,
839929551,83992955100019,SEVENFOR2,True,0,Inscrit,"SAS, société par actions simplifiée",5710,56.10C,Restauration de type rapide,Restauration,21,50,99,2023,2018-05-29,BOULOGNE-BILLANCOURT,92100,92012,44 RUE DE SILLY,,75,skipped_missing_required_fields,,,,,
572199768,57219976800019,ARIJE SA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,47.77Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",21,50,99,2022,1957-01-01,PARIS,75008,75108,50 RUE PIERRE CHARRON,,75,skipped_missing_required_fields,,,,,
817947161,81794716100193,OUIHELP,True,0,Inscrit,"SAS, société par actions simplifiée",5710,88.10A,Aide à domicile,Action sociale sans hébergement,32,250,499,2023,2016-01-14,PARIS,75015,75115,130 RUE DE LOURMEL,,75,skipped_missing_required_fields,,,,,
813232329,81323232900074,BCS GROUP,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",21,50,99,2022,2015-08-01,PARIS,75008,75108,30 RUE BOISSY D'ANGLAS,,77,skipped_missing_required_fields,,,,,
562097246,56209724600036,SUCR DISTIL SOUPPES OUVRE FILS,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,10.81Z,Fabrication de sucre,Industries alimentaires,22,100,199,2023,1956-01-01,PARIS,75017,75117,60 RUE DE LA JONQUIERE,,77,skipped_missing_required_fields,,,,,
775629058,77562905800139,RABONI IDF,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.73A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,"Commerce de gros, à l'exception des automobiles et des motocycles",32,250,499,2023,1983-09-13,BOULOGNE-BILLANCOURT,92100,92012,69 BOULEVARD DE LA REPUBLIQUE,69-71,77,skipped_missing_required_fields,,,,,
417976263,41797626300018,COCHERY ILE DE FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,42.11Z,Construction de routes et autoroutes,Génie civil,22,100,199,2022,1998-02-26,PIERRELAYE,95480,95488,CHEMIN DU PARC,,77,skipped_missing_required_fields,,,,,
623780178,62378017800033,SOUFFLET VIGNE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.75Z,Commerce de gros (commerce interentreprises) de produits chimiques,"Commerce de gros, à l'exception des automobiles et des motocycles",32,250,499,2023,1962-01-01,LIMAS,69400,69115,RTE NATIONALE 6,LE PONT ROUGE,77,skipped_missing_required_fields,,,,,
353054299,35305429900139,AUTODESK FRANCE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,58.29C,Édition de logiciels applicatifs,Édition,22,100,199,2023,1989-12-21,PARIS,75012,75112,2 PLACE DES VINS DE FRANCE,2-22,77,skipped_missing_required_fields,,,,,
311962427,31196242700242,INTERPARKING SERVICES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.21Z,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,22,100,199,2023,1978-01-01,PARIS,75009,75109,5 RUE DU FAUBOURG POISSONNIERE,,77,skipped_missing_required_fields,,,,,
560502320,56050232000073,SAMAT NORMANDIE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.41A,Transports routiers de fret interurbains,Transports terrestres et transport par conduites,31,200,249,2022,1956-01-01,GRAND QUEVILLY (LE),76120,76322,8 AV PAUL SABATIER,,77,skipped_missing_required_fields,,,,,
546780065,54678006500134,BASF HEALTH AND CARE PRODUCTS FRANCE SAS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,20.59Z,Fabrication d'autres produits chimiques n.c.a.,Industrie chimique,31,200,249,2023,1967-01-01,PARIS,75002,75102,176 RUE MONTMARTRE,,77,skipped_missing_required_fields,,,,,
809076409,80907640900063,ENRTEC,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2023,2015-01-16,SECLIN,59113,59560,12 RUE DU ROUGE BOUTON,,77,skipped_missing_required_fields,,,,,
177701315,17770131500224,DTPJJ DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE SEINE ET MARNE,True,0,Non inscrit,Service déconcentré de l'État à compétence (inter) départementale,7172,84.23Z,Justice,Administration publique et défense ; sécurité sociale obligatoire,32,250,499,2022,1976-12-07,MELUN,77000,77288,3 T AVENUE GALLIENI,,77,skipped_missing_required_fields,,,,,
197709264,19770926400018,LYCEE GENERAL FRANCOIS COUPERIN,True,0,Non inscrit,Établissement public local d'enseignement,7331,85.31Z,Enseignement secondaire général,Enseignement,22,100,199,2022,1965-05-01,FONTAINEBLEAU,77300,77186,ROUTE HURTAULT,,77,skipped_missing_required_fields,,,,,
318671591,31867159100069,HARPERCOLLINS FRANCE SA,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,58.11Z,Édition de livres,Édition,21,50,99,2023,1980-01-01,PARIS,75013,75113,83 BOULEVARD VINCENT AURIOL,83 AU 85,77,skipped_missing_required_fields,,,,,
437990179,43799017900032,I D K,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.18Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,"Commerce de gros, à l'exception des automobiles et des motocycles",21,50,99,2022,2000-04-01,EMERAINVILLE,77184,77169,81 AVENUE DE L’EUROPE,ZAC DE LA MALNOUE - 81-85,77,skipped_missing_required_fields,,,,,
676250038,67625003800012,GAUSSIN S.A.,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,28.22Z,Fabrication de matériel de levage et de manutention,Fabrication de machines et équipements n.c.a.,21,50,99,2022,1962-01-01,HERICOURT,70400,70285,11 RUE DU 47E REGIMENT D ARTILLERIE,,77,skipped_missing_required_fields,,,,,
531993970,53199397000072,LOG'INS ARES GXO,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.10B,Entreposage et stockage non frigorifique,Entreposage et services auxiliaires des transports,22,100,199,2022,2011-03-11,PANTIN,93500,93055,14 RUE LESAULT,,77,skipped_missing_required_fields,,,,,
321254161,32125416100078,PROCARS,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,49.39A,Transports routiers réguliers de voyageurs,Transports terrestres et transport par conduites,31,200,249,2022,1981-01-01,PROVINS,77160,77379,1 CHAUSSEE DE LA COMTESSE,,77,skipped_missing_required_fields,,,,,
323181057,32318105700064,TRANSPORTS PREVOST,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.41A,Transports routiers de fret interurbains,Transports terrestres et transport par conduites,22,100,199,2022,1981-09-15,MITRY-MORY,77290,77294,13 RUE DES FRERES LUMIERE,Z.I. DU MOULIN A VENT,77,skipped_missing_required_fields,,,,,
