siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
789710589,78971058900027,COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.31Z,Transports urbains et suburbains de voyageurs,Transports terrestres et transport par conduites,21,50,99,2022,2012-11-26,AIX-LES-BAINS,73100,73008,1700 BOULEVARD LEPIC,,75
495133167,49513316700132,TEMIS LUXURY FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.29B,Affrètement et organisation des transports,Entreposage et services auxiliaires des transports,31,200,249,2022,2007-02-26,PARIS,75009,75109,1 RUE DE CAUMARTIN,1-3,75
814369989,81436998900037,DAILYMOTION ADVERTISING,True,0,Inscrit,"SAS, société par actions simplifiée",5710,73.12Z,Régie publicitaire de médias,Publicité et études de marché,21,50,99,2022,2015-10-22,ISSY-LES-MOULINEAUX,92130,92040,50 RUE CAMILLE DESMOULINS,CEDEX 9 92863,75
341907236,34190723600242,KEEMIA,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,73.12Z,Régie publicitaire de médias,Publicité et études de marché,22,100,199,2022,1987-07-28,MONTREUIL,93100,93048,11 B RUE RABELAIS,,75
844797316,84479731600024,OPCO PIC BLANC,True,0,Inscrit,"SAS, société par actions simplifiée",5710,55.10Z,Hôtels et hébergement similaire,Hébergement,21,50,99,2022,2018-12-18,HUEZ,38750,38191,90 RUE DU RIF BRIANT,L'ALPES D'HUEZ,75
592060354,59206035400012,MONTAIGNE ALMA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,56.10A,Restauration traditionnelle,Restauration,21,50,99,2022,1959-01-01,PARIS,75008,75108,1 AVENUE MONTAIGNE,7 PLACE DE L ALMA,75
379440670,37944067000394,XBP EUROPE AST,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,63.11Z,"Traitement de données, hébergement et activités connexes",Services d'information,22,100,199,2022,1990-10-01,NOISIEL,77186,77337,1 RUE DE LA MARE BLANCHE,ZI DE LA MARE BLANCHE,75
381044924,38104492400086,DERICHEBOURG HOSPITALITY,True,0,Inscrit,"SAS, société par actions simplifiée",5710,82.99Z,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,31,200,249,2023,1991-01-25,CRETEIL,94000,94028,51 CHEMIN DES MECHES,,75
879599645,87959964500071,DS AVOCATS,True,0,Inscrit,Société d'exercice libéral par action simplifiée,5785,69.10Z,Activités juridiques,Activités juridiques,21,50,99,2023,2020-01-01,PARIS,75008,75108,69 BOULEVARD HAUSSMANN,,75
343829784,34382978400010,BLACHERE ILLUMINATION,True,0,Inscrit,"SAS, société par actions simplifiée",5710,27.40Z,Fabrication d'appareils d'éclairage électrique,Fabrication d'équipements électriques,22,100,199,2023,1987-11-01,APT,84400,84003,22 ALLEE DES BOURGUIGNONS,,75
310746425,31074642500340,BANSARD INTERNATIONAL,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.29B,Affrètement et organisation des transports,Entreposage et services auxiliaires des transports,31,200,249,2023,1977-01-01,TREMBLAY-EN-FRANCE,93290,93073,8 AVENUE DE LA PYRAMIDE,ZAC PARIS NORD II,75
413817552,41381755200024,RICHEMONT HOLDING FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,70.10Z,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,21,50,99,2023,1997-09-15,PARIS,75008,75108,35 RUE BOISSY D'ANGLAS,,75
552052698,55205269802657,GIRAUDY,True,0,Inscrit,"SAS, société par actions simplifiée",5710,73.12Z,Régie publicitaire de médias,Publicité et études de marché,22,100,199,2023,1955-01-01,ISSY-LES-MOULINEAUX,92130,92040,6 RUE DU QUATRE SEPTEMBRE,,75
