siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
314990185,31499018500253,EES-GAME INGENIERIE EIFFAGE ENERGIE SYSTEMES - GAME INGENIERIE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,33.12Z,Réparation de machines et équipements mécaniques,Réparation et installation de machines et d'équipements,21,50,99,2022,1979-01-01,ORMOY,91540,91468,17 RUE DE LA BELLE ETOILE,,91
392843066,39284306600094,SODIPRAM,True,0,Inscrit,"SAS, société par actions simplifiée",5710,47.59A,Commerce de détail de meubles,"Commerce de détail, à l'exception des automobiles et des motocycles",32,250,499,2023,1993-09-29,LE CHESNAY-ROCQUENCOURT,78150,78158,44 BD ST ANTOINE,,91
559800107,55980010700059,VIDANGES REUNIES  S V R,True,0,Inscrit,"SAS, société par actions simplifiée",5710,37.00Z,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,21,50,99,2022,1964-01-01,GAZERAN,78125,78269,4 RUE DE CUTESSON,Z A  DU BEL AIR,91
482491974,48249197400184,MINIMAX FRANCE SAS,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,43.22A,Travaux d'installation d'eau et de gaz en tous locaux,Travaux de construction spécialisés,22,100,199,2022,2005-05-18,SAINT-QUENTIN-FALLAVIER,38070,38449,31 BOUCLE DE LA RAMEE,,91
814714184,81471418400078,TERIDEAL HAUTS DE FRANCE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,81.30Z,Services d'aménagement paysager,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2023,2015-11-10,WISSOUS,91320,91689,13 AVENUE JEANNE GARNERIN,,91
340275924,34027592400017,SIGMA ALDRICH CHIMIE,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,46.75Z,Commerce de gros (commerce interentreprises) de produits chimiques,"Commerce de gros, à l'exception des automobiles et des motocycles",22,100,199,2022,1987-01-30,SAINT-QUENTIN-FALLAVIER,38070,38449,80 RUE DE LUZAIS,ZI DE CHESNES THARABIE,91
702024795,70202479500073,SARTORIUS STEDIM FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.69B,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,"Commerce de gros, à l'exception des automobiles et des motocycles",22,100,199,2022,1975-01-01,AUBAGNE,13400,13005,AVENUE DE JOUQUES,ZI LES PALUDS,91
404910598,40491059800014,CFGE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,56.10C,Restauration de type rapide,Restauration,21,50,99,2022,1996-03-22,EVRY-COURCOURONNES,91000,91228,BD DE L EUROPE -V G D ESTAING,,91
381515857,38151585700377,MONTRE SERVICE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,95.25Z,Réparation d'articles d'horlogerie et de bijouterie,Réparation d'ordinateurs et de biens personnels et domestiques,22,100,199,2023,1991-04-01,PARIS,75012,75112,60 RUE DE WATTIGNIES,,91
338170046,33817004600126,INFRATEL SERVICES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,42.22Z,Construction de réseaux électriques et de télécommunications,Génie civil,31,200,249,2023,1986-07-01,NANTERRE,92000,92050,71 RUE DES HAUTES PATURES,NAVARQUE A,91
308320423,30832042300046,SOCIETE CAUDRON FRERES,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,49.41B,Transports routiers de fret de proximité,Transports terrestres et transport par conduites,21,50,99,2022,1974-01-01,BRETIGNY-SUR-ORGE,91220,91103,36 AVENUE DE LA COMMUNE DE PARIS,36-42,91
